tau,h,q_tau,f_hat,beta_rif,se_beta_rif,g,n_obs,branch
0.95,8,1.155801595049896,0.08472420840735798,0.03752449722762185,0.006094497930125508,0.0031792333234943603,40574.0,
0.95,9,1.155801595049896,0.08472420840735798,0.03142896522174971,0.0058628335282928665,0.0026627941994751283,40573.0,
0.95,10,1.155801595049896,0.08472420840735798,0.03941371049965098,0.006017376824590516,0.0033392954224797026,40572.0,
0.95,11,1.155801595049896,0.08472420840735798,0.031559740364568135,0.005829798031606112,0.0026738740199297784,40571.0,
0.95,12,1.155801595049896,0.08472420840735798,0.032560013430077736,0.005824991814918548,0.002758621363596281,40570.0,
0.95,13,1.155801595049896,0.08472420840735798,0.0254464769962797,0.005816700810660363,0.002155932620265842,40569.0,
0.95,14,1.155801595049896,0.08472420840735798,0.031183124277137975,0.005798968225836439,0.002641965520048782,40568.0,
0.95,15,1.155801595049896,0.08472420840735798,0.03302166483134374,0.005824902222694308,0.0027977344131286906,40567.0,
0.95,16,1.155801595049896,0.08472420840735798,0.03549121361691234,0.0060597901758575375,0.0030069649791093426,40566.0,
0.95,17,1.155801595049896,0.08472420840735798,0.0416097668072051,0.006005061325444072,0.0035253545547552115,40565.0,
0.95,18,1.155801595049896,0.08472420840735798,0.03258075991883359,0.00603444853173831,0.002760379093433353,40564.0,
0.95,19,1.155801595049896,0.08472420840735798,0.03574033304043251,0.005906938505102826,0.003028071425065986,40563.0,
0.95,20,1.155801595049896,0.08472420840735798,0.03465653794125062,0.006011669552113573,0.0029362477432120265,40562.0,
0.95,21,1.155801595049896,0.08472420840735798,0.03512977028608304,0.006053111945435039,0.002976341979020711,40561.0,
0.95,22,1.155801595049896,0.08472420840735798,0.03205053158933055,0.005850511789031204,0.0027154559179410516,40560.0,
0.95,23,1.155801595049896,0.08472420840735798,0.031479008566439114,0.005801473816092145,0.0026670340822399943,40559.0,
0.95,24,1.155801595049896,0.08472420840735798,0.022991449844172826,0.005714924672452261,0.0019479323881850166,40558.0,
,0,,,,,-0.005374112400260535,,NON-CONFIRMATORY
,1,,,,,-0.004692455577490058,,NON-CONFIRMATORY
,2,,,,,-0.004293516257095605,,NON-CONFIRMATORY
,3,,,,,-0.0034603331660147943,,NON-CONFIRMATORY
,4,,,,,-0.003198329479130472,,NON-CONFIRMATORY
,5,,,,,-0.0034322120987451184,,NON-CONFIRMATORY
,6,,,,,-0.0035871084867698725,,NON-CONFIRMATORY
,7,,,,,-0.004351616404805931,,NON-CONFIRMATORY
,8,,,,,-0.0038908028471369253,,NON-CONFIRMATORY
,9,,,,,-0.003885813663988511,,NON-CONFIRMATORY
,10,,,,,-0.004472506863665785,,NON-CONFIRMATORY
,11,,,,,-0.003665266123442525,,NON-CONFIRMATORY
,12,,,,,-0.0037513385634527453,,NON-CONFIRMATORY
,13,,,,,-0.0029374059763980246,,NON-CONFIRMATORY
,14,,,,,-0.00346759041593183,,NON-CONFIRMATORY
,15,,,,,-0.0034973981370040753,,NON-CONFIRMATORY
,16,,,,,-0.003940234588367781,,NON-CONFIRMATORY
,17,,,,,-0.0040395542364634485,,NON-CONFIRMATORY
,18,,,,,-0.00341181296215377,,NON-CONFIRMATORY
,19,,,,,-0.004019980941990368,,NON-CONFIRMATORY
,20,,,,,-0.0040977077087259875,,NON-CONFIRMATORY
,21,,,,,-0.004012057900898461,,NON-CONFIRMATORY
,22,,,,,-0.003477093788209019,,NON-CONFIRMATORY
,23,,,,,-0.003431356951946128,,NON-CONFIRMATORY
,24,,,,,-0.002598570547871224,,NON-CONFIRMATORY
