alpha,h,side,method,beta,se,ci_lo,ci_hi,pval,n_obs
0.01,5,up,logit,0.06358283360367929,0.014550927364768377,0.03506301596873328,0.09210265123862531,1.244311937133737e-05,40577
0.01,5,up,lpm,0.0010513606604608302,0.00027140960412165864,0.0004558333488207625,0.0016227059492402245,0.000107193287220285,40577
0.01,6,down,logit,0.08265781309233085,0.014190770299599764,0.05484390330511531,0.11047172287954639,5.71951691589256e-09,40576
0.01,6,down,lpm,0.0013269207389065912,0.00028243428021610436,0.000668570276118181,0.002039833985434328,2.6251893077115095e-06,40576
0.01,6,up,logit,0.0708212545613879,0.014328928667913084,0.04273655437227825,0.09890595475049754,7.711261791315486e-07,40576
0.01,6,up,lpm,0.001177083079219724,0.00027587916919377345,0.000591333613865124,0.0018089863644386635,1.9841971177089214e-05,40576
0.01,7,down,logit,0.08175009254632523,0.014391306141223376,0.053543132509527414,0.10995705258312305,1.3428638325325628e-08,40575
0.01,7,down,lpm,0.0012497713532860651,0.00027183586261485547,0.000571442241060582,0.001908179777863911,4.275455361388351e-06,40575
0.01,7,up,logit,0.08904623977215714,0.013910543654252193,0.061781574209822845,0.11631090533449144,1.5401043896738576e-10,40575
0.01,7,up,lpm,0.0014753843394455508,0.00027933610528574235,0.0008232759403984647,0.0021079580688698123,1.2795356131094654e-07,40575
0.01,8,down,logit,0.04746586682992557,0.01524853924740166,0.017578729905018315,0.07735300375483282,0.0018531275154641514,40574
0.01,8,down,lpm,0.0007115695236425573,0.0002602304823481795,0.00011013778296740161,0.001307355258642052,0.006249750852929266,40574
0.01,8,up,logit,0.08534789050038517,0.014062163843147915,0.057786049367815256,0.11290973163295509,1.2844624689409193e-09,40574
0.01,8,up,lpm,0.0014225490367957734,0.000283810357777519,0.0007865467389637906,0.002025731588662162,5.377697965299497e-07,40574
0.01,9,down,logit,0.08040647197579817,0.014416180137524456,0.05215075890625024,0.10866218504534611,2.439776810065848e-08,40573
0.01,9,down,lpm,0.001223019464513382,0.00026775326866252975,0.0006084370859060219,0.0019539032219300385,4.930799838556206e-06,40573
0.01,9,up,logit,0.05607108649547709,0.014735831837931264,0.027188856093131812,0.08495331689782237,0.00014175574302561445,40573
0.01,9,up,lpm,0.0009332250982682715,0.0002595858520480414,0.0003537895441727923,0.0015041892510044396,0.00032432457437587663,40573
0.01,10,down,logit,0.0740540253293402,0.014468634421034762,0.04569550186411207,0.10241254879456833,3.0839075402320707e-07,40572
0.01,10,down,lpm,0.0011332114411860914,0.00026686268640038687,0.0005085898216375288,0.0017783233242763315,2.17211862182316e-05,40572
0.01,10,up,logit,0.08659842817637113,0.013965922930123277,0.059225219233329504,0.11397163711941276,5.621436906919067e-10,40572
0.01,10,up,lpm,0.001411840688160067,0.0002829625961828117,0.0007971448900462194,0.0020622227296841766,6.053708717438501e-07,40572
0.01,11,down,logit,0.06682821755414405,0.01483998447842894,0.037741847976423326,0.09591458713186476,6.692086189490148e-06,40571
0.01,11,down,lpm,0.0009913921035127474,0.00026869284720921436,0.0003621275043238488,0.0016023264536546929,0.0002245314529202248,40571
0.01,11,up,logit,0.08553986406273373,0.013949514462405875,0.05819881571641822,0.11288091240904924,8.67247432020338e-10,40571
0.01,11,up,lpm,0.0014267217120210638,0.0002823597422884556,0.0007172257482230802,0.0021409830955941927,4.3526340628786136e-07,40571
0.01,12,down,logit,0.06549145956811003,0.01479956321498762,0.036484315666734296,0.09449860346948577,9.633993227335546e-06,40570
0.01,12,down,lpm,0.000992717199856456,0.0002690889140760586,0.000330603089454281,0.0016418596398943652,0.00022497879775816844,40570
0.01,12,up,logit,0.06408080090432836,0.014565900350595322,0.03553163621716153,0.09262996559149518,1.0856504393372165e-05,40570
0.01,12,up,lpm,0.0010642654006063146,0.0002759076463921636,0.00043189800026823157,0.001703944532795264,0.00011463480145464584,40570
0.01,13,down,logit,0.051750235637358886,0.015153798735339098,0.022048790116094254,0.08145168115862352,0.0006378181134006176,40569
0.01,13,down,lpm,0.0007814733561321856,0.0002666238621146618,0.00017527817319797,0.0013536528751576127,0.0033787761023288633,40569
0.01,13,up,logit,0.06624677315016983,0.014499547824937484,0.03782765941329236,0.0946658868870473,4.903246495771475e-06,40569
0.01,13,up,lpm,0.0010781441153989491,0.0002778462574087989,0.00036854300403309215,0.0017388526104891956,0.00010430102396564986,40569
